Rank,Player,Club,Nationality,Stat
1,Luke Ayling,Leeds United,England,38
1,Patrick Bamford,Leeds United,England,38
1,Jarrod Bowen,West Ham United,England,38
1,Stuart Dallas,Leeds United,Northern Ireland,38
1,Pierre-Emile Højbjerg,Tottenham Hotspur,Denmark,38
1,Hugo Lloris,Tottenham Hotspur,France,38
1,Emiliano Martínez,Aston Villa,Argentina,38
1,Aaron Ramsdale,,England,38
1,Andrew Robertson,Liverpool,Scotland,38
1,Kasper Schmeichel,,Denmark,38
1,Tomás Soucek,West Ham United,[object Object],38
1,Matt Targett,,England,38
1,Youri Tielemans,Leicester City,Belgium,38
1,James Ward-Prowse,Southampton,England,38
1,Ashley Westwood,,England,38
1,Georginio Wijnaldum,,Netherlands,38
1,Bruno Fernandes,Manchester United,Portugal,37
1,Conor Coady,,England,37
1,Rui Patrício,,Portugal,37
1,Vicente Guaita,Crystal Palace,Spain,37
1,Sam Johnstone,,England,37
1,John McGinn,Aston Villa,Scotland,37
1,Marcus Rashford,Manchester United,England,37
1,Mohamed Salah,Liverpool,Egypt,37
1,Son Heung-Min,Tottenham Hotspur,South Korea,37
1,Adama Traoré,Wolverhampton Wanderers,Spain,37
1,Ollie Watkins,Aston Villa,England,37
2,Ché Adams,Southampton,Scotland,36
2,Trent Alexander-Arnold,Liverpool,England,36
2,Ezgjan Alioski,,North Macedonia,36
2,Alphonse Aréola,,France,36
2,Roberto Firmino,Liverpool,Brazil,36
2,Jan Bednarek,Southampton,Poland,36
2,Yves Bissouma,,Mali,36
2,Aaron Cresswell,West Ham United,England,36
2,Rúben Neves,Wolverhampton Wanderers,Portugal,36
2,Jack Harrison,,England,36
2,Ezri Konsa,Aston Villa,England,36
2,Cheikhou Kouyaté,,Senegal,36
2,Dwight McNeil,,England,36
2,Tyrone Mings,Aston Villa,England,36
2,Mason Mount,Chelsea,England,36
2,Ivan Cavaleiro,,Portugal,36
2,Ederson,Manchester City,Brazil,36
2,Gylfi Sigurdsson,,Iceland,36
2,James Tarkowski,,England,36
2,Bertrand Traoré,Aston Villa,Burkina Faso,36
2,Ben White,,England,36
2,André-Frank Zambo Anguissa,,Cameroon,36
5,Lukasz Fabianski,West Ham United,Poland,35
5,Darnell Furlong,West Bromwich Albion,England,35
5,Harry Kane,Tottenham Hotspur,England,35
5,Michael Keane,Everton,England,35
5,Mateusz Klich,,Poland,35
5,Bernd Leno,,Germany,35
5,Sadio Mané,,Senegal,35
5,David McGoldrick,,Ireland,35
5,Illan Meslier,Leeds United,France,35
5,Leandro Trossard,,Belgium,35
5,Timo Werner,,Germany,35
6,Miguel Almirón,Newcastle United,Paraguay,34
6,Nélson Semedo,Wolverhampton Wanderers,Portugal,34
6,Vladimír Coufal,West Ham United,[object Object],34
6,Richarlison,,Brazil,34
6,Eberechi Eze,Crystal Palace,England,34
6,Pascal Groß,Brighton & Hove Albion,Germany,34
6,Rodri,Manchester City,Spain,34
6,Ademola Lookman,Fulham,Nigeria,34
6,Matthew Lowton,,England,34
6,Harry Maguire,Manchester United,England,34
6,Andros Townsend,,England,34
6,Jamie Vardy,Leicester City,England,34
6,Aaron Wan-Bissaka,Manchester United,England,34
7,Tosin Adarabioyo,Fulham,England,33
7,Semi Ajayi,West Bromwich Albion,Nigeria,33
7,Stuart Armstrong,Southampton,Scotland,33
7,Jordan Ayew,Crystal Palace,Ghana,33
7,Alisson,Liverpool,Brazil,33
7,Josh Brownhill,Burnley,England,33
7,Dominic Calvert-Lewin,Everton,England,33
7,Matheus Pereira,,Brazil,33
7,Bobby De Cordova-Reid,,Jamaica,33
7,Leander Dendoncker,,Belgium,33
7,Lewis Dunk,Brighton & Hove Albion,England,33
7,Pablo Fornals,West Ham United,Spain,33
7,Neal Maupay,,France,33
7,Tanguy Ndombélé,,France,33
7,Matt Phillips,West Bromwich Albion,Scotland,33
7,Jairo Riedewald,Crystal Palace,Netherlands,33
7,João Moutinho,Wolverhampton Wanderers,Portugal,33
7,Douglas Luiz,Aston Villa,Brazil,33
7,Chris Wood,,New Zealand,33
9,George Baldock,Sheffield United,Greece,32
9,Rúben Dias,Manchester City,Portugal,32
9,Reece James,Chelsea,England,32
9,Scott McTominay,Manchester United,Scotland,32
9,Oliver Norwood,Sheffield United,Northern Ireland,32
9,Nick Pope,,England,32
9,Declan Rice,West Ham United,England,32
9,Bukayo Saka,Arsenal,England,32
9,Luke Shaw,Manchester United,England,32
9,Fábio Silva,,Portugal,32
1,Ola Aina,Fulham,Nigeria,31
1,Marc Albrighton,,England,31
1,Joachim Andersen,,Denmark,31
1,Joelinton,Newcastle United,Brazil,31
