Rank,Player,Club,Nationality,Stat
1,Harry Kane,Tottenham Hotspur,England,14
2,Bruno Fernandes,Manchester United,Portugal,12
2,Kevin De Bruyne,Manchester City,Belgium,12
4,Jack Grealish,,England,10
4,Son Heung-Min,Tottenham Hotspur,South Korea,10
6,Raphinha,,Brazil,9
6,Marcus Rashford,Manchester United,England,9
6,Jamie Vardy,Leicester City,England,9
9,Aaron Cresswell,West Ham United,England,8
9,Pascal Groß,Brighton & Hove Albion,Germany,8
9,Jack Harrison,,England,8
9,Timo Werner,,Germany,8
1,Trent Alexander-Arnold,Liverpool,England,7
1,Patrick Bamford,Leeds United,England,7
1,Roberto Firmino,Liverpool,Brazil,7
1,Vladimír Coufal,West Ham United,[object Object],7
1,Lucas Digne,,France,7
1,Sadio Mané,,Senegal,7
1,Andrew Robertson,Liverpool,Scotland,7
1,Raheem Sterling,,England,7
1,James Ward-Prowse,Southampton,England,7
2,Saïd Benrahma,West Ham United,Algeria,6
2,Matheus Pereira,,Brazil,6
2,Eberechi Eze,Crystal Palace,England,6
2,Pedro Neto,Wolverhampton Wanderers,Portugal,6
2,Riyad Mahrez,Manchester City,Algeria,6
2,Bernardo Silva,Manchester City,Portugal,6
2,Bertrand Traoré,Aston Villa,Burkina Faso,6
2,Ché Adams,Southampton,Scotland,5
2,Marc Albrighton,,England,5
2,Michail Antonio,,Jamaica,5
2,Stuart Armstrong,Southampton,Scotland,5
2,Willian,,Brazil,5
2,Jarrod Bowen,West Ham United,England,5
2,Ben Chilwell,Chelsea,England,5
2,Phil Foden,Manchester City,England,5
2,Mateusz Klich,,Poland,5
2,James Maddison,Leicester City,England,5
2,John McGinn,Aston Villa,Scotland,5
2,Dwight McNeil,,England,5
2,Mason Mount,Chelsea,England,5
2,Mohamed Salah,Liverpool,Egypt,5
2,Luke Shaw,Manchester United,England,5
2,Gylfi Sigurdsson,,Iceland,5
2,Andros Townsend,,England,5
2,Leandro Trossard,,Belgium,5
2,Ollie Watkins,Aston Villa,England,5
2,Callum Wilson,Newcastle United,England,5
4,Harvey Barnes,Leicester City,England,4
4,Gabriel Jesus,,Brazil,4
4,Pablo Fornals,West Ham United,Spain,4
4,Pierre-Emile Højbjerg,Tottenham Hotspur,Denmark,4
4,Danny Ings,,England,4
4,Jesse Lingard,,England,4
4,Ademola Lookman,Fulham,Nigeria,4
4,Wilfred Ndidi,Leicester City,Nigeria,4
4,Lucas Moura,Tottenham Hotspur,Brazil,4
4,James Rodríguez,,Colombia,4
4,Allan Saint-Maximin,Newcastle United,France,4
4,Emile Smith Rowe,Arsenal,England,4
4,Youri Tielemans,Leicester City,Belgium,4
4,Aaron Wan-Bissaka,Manchester United,England,4
6,Ezgjan Alioski,,North Macedonia,3
6,Pierre-Emerick Aubameyang,,Gabon,3
6,Sèrge Aurier,,Cote D’Ivoire,3
6,Jordan Ayew,Crystal Palace,Ghana,3
6,Steven Bergwijn,,Netherlands,3
6,Timothy Castagne,Leicester City,Belgium,3
6,João Cancelo,,Portugal,3
6,Edinson Cavani,,Uruguay,3
6,Dani Ceballos,,Spain,3
6,Séamus Coleman,,Ireland,3
6,Richarlison,,Brazil,3
6,Abdoulaye Doucouré,Everton,Mali,3
6,Darnell Furlong,West Bromwich Albion,England,3
6,Kai Havertz,Chelsea,Germany,3
6,Callum Hudson-Odoi,,England,3
6,Anthony Martial,Manchester United,France,3
6,Aleksandar Mitrovic,Fulham,Serbia,3
6,Jacob Murphy,Newcastle United,England,3
6,Paul Pogba,,France,3
6,Nathan Redmond,,England,3
6,Sergio Reguilón,,Spain,3
6,Bukayo Saka,Arsenal,England,3
6,Jeffrey Schlupp,Crystal Palace,Ghana,3
6,Jonjo Shelvey,,England,3
6,Fábio Silva,,Portugal,3
6,Hélder Costa,,Angola,3
6,Kieran Tierney,Arsenal,Scotland,3
6,Theo Walcott,,England,3
6,Ashley Westwood,,England,3
6,Chris Wood,,New Zealand,3
6,André-Frank Zambo Anguissa,,Cameroon,3
6,Hakim Ziyech,Chelsea,Morocco,3
9,Joelinton,Newcastle United,Brazil,2
9,César Azpilicueta,Chelsea,Spain,2
9,George Baldock,Sheffield United,Greece,2
9,Gareth Bale,,Wales,2
9,Héctor Bellerín,,Spain,2
9,Matty Cash,Aston Villa,Poland,2
9,Daniel Podence,Wolverhampton Wanderers,Portugal,2
9,Calum Chambers,,England,2
9,Stuart Dallas,Leeds United,Northern Ireland,2
9,Bobby De Cordova-Reid,,Jamaica,2
9,Mbaye Diagne,,Senegal,2
9,Matt Doherty,,Ireland,2
9,Jonny Evans,Leicester City,Northern Ireland,2
9,John Fleck,Sheffield United,Scotland,2
9,Ryan Fraser,Newcastle United,Scotland,2
9,Conor Gallagher,,England,2
9,Ben Godfrey,Everton,England,2
9,Mason Greenwood,,England,2
9,Ilkay Gündogan,Manchester City,Germany,2
9,Rodri,Manchester City,Spain,2
9,Pablo Hernández,,Spain,2
9,Kelechi Iheanacho,Leicester City,Nigeria,2
9,Alex Iwobi,Everton,Nigeria,2
9,Reece James,Chelsea,England,2
9,Curtis Jones,Liverpool,England,2
9,N'Golo Kanté,Chelsea,France,2
9,Alexandre Lacazette,,France,2
9,John Lundstram,,England,2
9,Arthur Masuaku,,DR Congo,2
9,Juan Mata,,Spain,2
9,Joël Matip,Liverpool,Cameroon,2
9,Neal Maupay,,France,2
9,James McArthur,Crystal Palace,Scotland,2
9,Tyrone Mings,Aston Villa,England,2
9,Rodrigo,Leeds United,Spain,2
9,Tanguy Ndombélé,,France,2
9,Alex Telles,,Brazil,2
9,Thomas Partey,Arsenal,Ghana,2
9,Kalvin Phillips,,England,2
9,Christian Pulisic,Chelsea,United States,2
9,Harrison Reed,Fulham,England,2
9,Matt Ritchie,Newcastle United,Scotland,2
9,Tyler Roberts,,Wales,2
9,Jay Rodríguez,Burnley,England,2
9,Fernandinho,,Brazil,2
9,Xherdan Shaqiri,,Switzerland,2
9,Douglas Luiz,Aston Villa,Brazil,2
9,Matt Targett,,England,2
9,Ferran Torres,,Spain,2
9,Conor Townsend,West Bromwich Albion,England,2
9,Adama Traoré,Wolverhampton Wanderers,Spain,2
9,Cengiz Ünder,,[object Object],2
9,Matej Vydra,,[object Object],2
9,Kyle Walker-Peters,Southampton,England,2
9,Granit Xhaka,Arsenal,Switzerland,2
9,Wilfried Zaha,Crystal Palace,Cote D’Ivoire,2
9,Martin Ødegaard,,Norway,2
1,Tammy Abraham,,England,1
1,Sergio Agüero,,Argentina,1
1,Ola Aina,Fulham,Nigeria,1
1,Rayan Aït-Nouri,,Algeria,1
1,Dele Alli,,England,1
1,Miguel Almirón,Newcastle United,Paraguay,1
1,Cédric Soares,,Portugal,1
1,Joachim Andersen,,Denmark,1
1,Ricardo Pereira,Leicester City,Portugal,1
1,Ross Barkley,,England,1
1,Kyle Bartley,West Bromwich Albion,England,1
1,Chris Basham,Sheffield United,England,1
1,Michy Batshuayi,,Belgium,1
1,Jan Bednarek,Southampton,Poland,1
1,Christian Benteke,,Belgium,1
1,Sander Berge,Sheffield United,Norway,1
1,Ryan Bertrand,,England,1
1,Willy Boly,,Cote D’Ivoire,1
1,Robert Brady,,Ireland,1
1,Josh Brownhill,Burnley,England,1
1,Oliver Burke,,Scotland,1
1,Nélson Semedo,Wolverhampton Wanderers,Portugal,1
1,Gary Cahill,,England,1
1,Tom Cairney,Fulham,Scotland,1
1,Nathaniel Clyne,Crystal Palace,England,1
1,Aaron Connolly,,Ireland,1
1,Rúben Neves,Wolverhampton Wanderers,Portugal,1
1,Tom Davies,Everton,England,1
1,Ben Davies,Tottenham Hotspur,Wales,1
1,Keinan Davis,,England,1
1,Amad Diallo,,Cote D’Ivoire,1
1,John Egan,Sheffield United,Ireland,1
1,Ryan Fredericks,,England,1
1,Jorginho,,Italy,1
1,Dwight Gayle,,England,1
1,Kamil Grosicki,West Bromwich Albion,Poland,1
1,Trézéguet,,Egypt,1
1,Jordan Henderson,Liverpool,England,1
1,Jeff Hendrick,,Ireland,1
1,Rob Holding,Arsenal,England,1
1,Conor Hourihane,,Ireland,1
1,Alireza Jahanbakhsh,,Iran,1
1,Dan James,,Wales,1
1,Sam Johnstone,,England,1
1,James Justin,Leicester City,England,1
1,Michael Keane,Everton,England,1
1,Maximilian Kilman,Wolverhampton Wanderers,England,1
1,Mateo Kovacic,Chelsea,Croatia,1
1,Adam Lallana,Brighton & Hove Albion,England,1
1,Tariq Lamptey,Brighton & Hove Albion,Ghana,1
1,Manuel Lanzini,West Ham United,Argentina,1
1,Jamal Lewis,Newcastle United,Northern Ireland,1
1,Victor Lindelöf,Manchester United,Sweden,1
1,Giovani Lo Celso,,Argentina,1
1,Sean Longstaff,Newcastle United,England,1
