Rank,Player,Club,Nationality,Stat
1,Patrick Bamford,Leeds United,England,21
2,Mohamed Salah,Liverpool,Egypt,19
2,Jamie Vardy,Leicester City,England,19
2,Chris Wood,,New Zealand,19
5,Sadio Mané,,Senegal,18
5,Timo Werner,,Germany,18
7,Ché Adams,Southampton,Scotland,17
7,Dominic Calvert-Lewin,Everton,England,17
9,Roberto Firmino,Liverpool,Brazil,13
9,Harry Kane,Tottenham Hotspur,England,13
9,Raheem Sterling,,England,13
9,Ollie Watkins,Aston Villa,England,13
1,Mbaye Diagne,,Senegal,11
1,Neal Maupay,,France,11
1,Marcus Rashford,Manchester United,England,11
1,Richarlison,,Brazil,10
1,Anthony Martial,Manchester United,France,10
1,Son Heung-Min,Tottenham Hotspur,South Korea,10
1,Callum Wilson,Newcastle United,England,10
2,Michail Antonio,,Jamaica,9
2,Kai Havertz,Chelsea,Germany,9
2,Kelechi Iheanacho,Leicester City,Nigeria,9
2,Alexandre Lacazette,,France,9
2,Danny Welbeck,Brighton & Hove Albion,England,9
2,Bruno Fernandes,Manchester United,Portugal,8
2,Kevin De Bruyne,Manchester City,Belgium,8
2,Mason Greenwood,,England,8
2,Oliver McBurnie,Sheffield United,Scotland,8
2,Pierre-Emerick Aubameyang,,Gabon,7
2,Jarrod Bowen,West Ham United,England,7
2,Edinson Cavani,,Uruguay,7
2,Pablo Fornals,West Ham United,Spain,7
2,Ivan Cavaleiro,,Portugal,7
2,Diogo Jota,Liverpool,Portugal,7
2,Matej Vydra,,[object Object],7
3,Olivier Giroud,,France,6
3,Jack Harrison,,England,6
3,Danny Ings,,England,6
3,Ezri Konsa,Aston Villa,England,6
3,David McGoldrick,,Ireland,6
3,Bukayo Saka,Arsenal,England,6
4,Harvey Barnes,Leicester City,England,5
4,Christian Benteke,,Belgium,5
4,Steven Bergwijn,,Netherlands,5
4,Aaron Connolly,,Ireland,5
4,Gabriel Jesus,,Brazil,5
4,Leander Dendoncker,,Belgium,5
4,Dwight Gayle,,England,5
4,Ilkay Gündogan,Manchester City,Germany,5
4,Trézéguet,,Egypt,5
4,Ruben Loftus-Cheek,Fulham,England,5
4,Riyad Mahrez,Manchester City,Algeria,5
4,Christian Pulisic,Chelsea,United States,5
4,Ferran Torres,,Spain,5
4,Leandro Trossard,,Belgium,5
4,Wilfried Zaha,Crystal Palace,Cote D’Ivoire,5
5,Tammy Abraham,,England,4
5,Joelinton,Newcastle United,Brazil,4
5,Raphinha,,Brazil,4
5,Lewis Dunk,Brighton & Hove Albion,England,4
5,Anwar El Ghazi,,Netherlands,4
5,Phil Foden,Manchester City,England,4
5,Jack Grealish,,England,4
5,Pedro Neto,Wolverhampton Wanderers,Portugal,4
5,Ademola Lookman,Fulham,Nigeria,4
5,Aleksandar Mitrovic,Fulham,Serbia,4
