Rank,Player,Club,Nationality,Stat
1,Ederson,Manchester City,Brazil,19
2,Édouard Mendy,Chelsea,Senegal,16
3,Emiliano Martínez,Aston Villa,Argentina,15
4,Hugo Lloris,Tottenham Hotspur,France,12
5,Bernd Leno,,Germany,11
5,Illan Meslier,Leeds United,France,11
5,Nick Pope,,England,11
5,Kasper Schmeichel,,Denmark,11
9,Alisson,Liverpool,Brazil,10
9,Rui Patrício,,Portugal,10
9,Lukasz Fabianski,West Ham United,Poland,10
9,Jordan Pickford,Everton,England,10
9,Robert Sánchez,Brighton & Hove Albion,Spain,10
1,Alphonse Aréola,,France,9
1,David de Gea,Manchester United,Spain,9
1,Vicente Guaita,Crystal Palace,Spain,8
1,Alex McCarthy,Southampton,England,7
1,Sam Johnstone,,England,6
1,Aaron Ramsdale,,England,5
2,Karl Darlow,,England,4
2,Dean Henderson,,England,4
2,Martin Dúbravka,Newcastle United,Slovakia,3
2,Mathew Ryan,,Australia,3
2,Kepa Arrizabalaga,Chelsea,Spain,2
2,Fraser Forster,,England,2
2,Robin Olsen,,Sweden,2
2,Kiko Casilla,,Spain,1
2,Caoimhín Kelleher,Liverpool,Ireland,1
2,Darren Randolph,,Ireland,1
2,Adrián,Liverpool,Spain,1
