Rank,Player,Club,Nationality,Stat
1,Tosin Adarabioyo,Fulham,England,193
2,Tyrone Mings,Aston Villa,England,170
3,James Tarkowski,,England,159
4,Kyle Bartley,West Bromwich Albion,England,158
4,Ezri Konsa,Aston Villa,England,158
6,Michael Keane,Everton,England,156
7,Joachim Andersen,,Denmark,150
8,Ben Mee,,England,148
9,Federico Fernández,,Argentina,144
1,Jan Bednarek,Southampton,Poland,132
1,Conor Coady,,England,130
1,John Egan,Sheffield United,Ireland,130
1,Cheikhou Kouyaté,,Senegal,123
1,Eric Dier,Tottenham Hotspur,England,122
1,Harry Maguire,Manchester United,England,122
1,Rob Holding,Arsenal,England,119
1,Jannik Vestergaard,,Denmark,119
1,Semi Ajayi,West Bromwich Albion,Nigeria,118
1,Angelo Ogbonna,West Ham United,Italy,116
2,Toby Alderweireld,,Belgium,115
2,Romain Saïss,,Morocco,111
2,Ben Godfrey,Everton,England,110
2,Yerry Mina,Everton,Colombia,108
2,Lewis Dunk,Brighton & Hove Albion,England,104
2,Chris Basham,Sheffield United,England,103
2,Tomás Soucek,West Ham United,[object Object],102
2,Ciaran Clark,,Ireland,99
2,Dara O'Shea,West Bromwich Albion,Ireland,97
2,Jonny Evans,Leicester City,Northern Ireland,96
3,Victor Lindelöf,Manchester United,Sweden,95
3,Wesley Fofana,,France,92
3,Kurt Zouma,,France,91
3,Vladimír Coufal,West Ham United,[object Object],90
3,Rúben Dias,Manchester City,Portugal,90
3,Craig Dawson,,England,87
3,Matt Targett,,England,87
3,Gary Cahill,,England,86
3,Jamaal Lascelles,Newcastle United,England,84
3,Davinson Sánchez,Tottenham Hotspur,Colombia,84
3,Pascal Struijk,Leeds United,Netherlands,84
3,Adam Webster,Brighton & Hove Albion,England,84
4,Ethan Ampadu,Sheffield United,Wales,83
4,Willy Boly,,Cote D’Ivoire,83
4,Matty Cash,Aston Villa,Poland,82
4,Thiago Silva,Chelsea,Brazil,82
4,Mason Holgate,Everton,England,82
4,Ola Aina,Fulham,Nigeria,81
4,Nathaniel Phillips,Liverpool,England,81
4,Çaglar Söyüncü,Leicester City,[object Object],80
5,Matthew Lowton,,England,79
5,Joel Ward,Crystal Palace,England,79
5,Darnell Furlong,West Bromwich Albion,England,78
5,Luke Ayling,Leeds United,England,77
5,Enda Stevens,Sheffield United,Ireland,75
5,Aaron Cresswell,West Ham United,England,73
5,Gabriel Magalhães,Arsenal,Brazil,73
5,Charlie Taylor,Burnley,England,73
5,Lucas Digne,,France,72
5,Dan Burn,,England,71
5,Paul Dummett,Newcastle United,Wales,71
6,Nélson Semedo,Wolverhampton Wanderers,Portugal,70
6,Andrew Robertson,Liverpool,Scotland,68
6,Liam Cooper,Leeds United,Scotland,67
6,Fabinho,Liverpool,Brazil,65
6,Yves Bissouma,,Mali,64
6,Pierre-Emile Højbjerg,Tottenham Hotspur,Denmark,64
6,Fabián Balbuena,,Paraguay,62
6,George Baldock,Sheffield United,Greece,62
6,Aaron Wan-Bissaka,Manchester United,England,61
7,Joël Veltman,Brighton & Hove Albion,Netherlands,60
7,César Azpilicueta,Chelsea,Spain,59
7,Issa Diop,,France,58
7,Scott Dann,,England,57
7,Jack Stephens,,England,57
7,Kieran Tierney,Arsenal,Scotland,56
7,Rodri,Manchester City,Spain,54
7,Antonee Robinson,Fulham,United States,54
7,John Stones,Manchester City,England,54
7,Kortney Hause,,England,53
8,Wilfred Ndidi,Leicester City,Nigeria,52
8,James Ward-Prowse,Southampton,England,52
8,Antonio Rüdiger,,Germany,51
8,Fabian Schär,Newcastle United,Switzerland,51
8,Conor Townsend,West Bromwich Albion,England,51
8,Kyle Walker-Peters,Southampton,England,51
8,Timothy Castagne,Leicester City,Belgium,50
8,Ben White,,England,50
8,Andreas Christensen,,Denmark,49
8,David Luiz,,Brazil,49
8,Oliver Norwood,Sheffield United,Northern Ireland,49
8,Kalvin Phillips,,England,49
9,Leander Dendoncker,,Belgium,48
9,Ben Chilwell,Chelsea,England,47
9,Stuart Dallas,Leeds United,Northern Ireland,46
9,Emil Krafth,Newcastle United,Sweden,46
9,Luka Milivojevic,Crystal Palace,Serbia,46
9,Tyrick Mitchell,Crystal Palace,England,46
9,Ben Davies,Tottenham Hotspur,Wales,45
9,Isaac Hayden,,England,45
1,James Justin,Leicester City,England,44
1,Kenny Tete,Fulham,Netherlands,44
1,Trent Alexander-Arnold,Liverpool,England,43
1,Alisson,Liverpool,Brazil,43
1,Reece James,Chelsea,England,43
1,Scott McTominay,Manchester United,Scotland,43
1,James Tomkins,Crystal Palace,England,43
1,Karl Darlow,,England,42
1,Sèrge Aurier,,Cote D’Ivoire,41
1,Illan Meslier,Leeds United,France,41
1,Sergio Reguilón,,Spain,41
1,Matt Ritchie,Newcastle United,Scotland,41
1,Jack Robinson,Sheffield United,England,41
1,Douglas Luiz,Aston Villa,Brazil,41
1,Ezgjan Alioski,,North Macedonia,40
1,Rúben Neves,Wolverhampton Wanderers,Portugal,40
1,Maximilian Kilman,Wolverhampton Wanderers,England,40
1,Nick Pope,,England,40
1,Jonjo Shelvey,,England,40
1,Alphonse Aréola,,France,39
1,Christian Benteke,,Belgium,39
1,Harry Kane,Tottenham Hotspur,England,39
1,Jordan Pickford,Everton,England,39
1,Luke Shaw,Manchester United,England,39
1,Sam Johnstone,,England,38
1,Diego Llorente,,Spain,38
1,Patrick Bamford,Leeds United,England,37
1,Ryan Bertrand,,England,37
1,Josh Brownhill,Burnley,England,37
1,Paul Pogba,,France,37
1,Eric Bailly,,Cote D’Ivoire,36
1,Calum Chambers,,England,36
1,Matt Doherty,,Ireland,36
1,Jamal Lewis,Newcastle United,Northern Ireland,36
1,Granit Xhaka,Arsenal,Switzerland,36
1,Kean Bryan,,England,35
1,Richarlison,,Brazil,35
1,Declan Rice,West Ham United,England,35
1,Joe Rodon,,Wales,35
1,Bobby De Cordova-Reid,,Jamaica,34
1,Aaron Ramsdale,,England,34
1,Dominic Calvert-Lewin,Everton,England,33
1,Vicente Guaita,Crystal Palace,Spain,33
1,Séamus Coleman,,Ireland,32
1,Patrick van Aanholt,,Netherlands,32
1,Okay Yokuslu,,[object Object],32
1,Héctor Bellerín,,Spain,31
1,Robin Koch,Leeds United,Germany,31
1,Jamie Vardy,Leicester City,England,31
1,Christian Fuchs,,Austria,30
1,Ashley Westwood,,England,30
1,Pablo Marí,,Spain,29
1,Oliver McBurnie,Sheffield United,Scotland,29
1,Mohammed Salisu,Southampton,Ghana,29
1,Marcos Alonso,,Spain,28
1,João Cancelo,,Portugal,28
1,Joe Gomez,Liverpool,England,28
1,Aymeric Laporte,Manchester City,Spain,28
1,James McArthur,Crystal Palace,Scotland,28
1,Bruno Fernandes,Manchester United,Portugal,27
1,Conor Gallagher,,England,27
1,Kieran Gibbs,,England,27
1,Ozan Kabak,,Turkey,27
1,Ainsley Maitland-Niles,West Bromwich Albion,England,27
1,Erik Pieters,,Netherlands,27
1,Raphinha,,Brazil,26
1,Jordan Henderson,Liverpool,England,26
1,Phil Jagielka,,England,26
1,N'Golo Kanté,Chelsea,France,26
1,Harrison Reed,Fulham,England,26
1,Rhys Williams,Liverpool,England,26
1,Robert Brady,,Ireland,25
1,Abdoulaye Doucouré,Everton,Mali,25
1,Branislav Ivanovic,West Bromwich Albion,Serbia,25
1,Matt Phillips,West Bromwich Albion,Scotland,25
1,Oleksandr Zinchenko,,Ukraine,25
1,Daniel Amartey,,Ghana,24
1,Jake Livermore,West Bromwich Albion,England,24
1,Kevin Long,,Ireland,24
1,Jacob Murphy,Newcastle United,England,24
1,João Moutinho,Wolverhampton Wanderers,Portugal,24
1,Bernd Leno,,Germany,23
1,John Lundstram,,England,23
1,Allan,,Brazil,23
1,John McGinn,Aston Villa,Scotland,23
1,David McGoldrick,,Ireland,23
1,Tim Ream,Fulham,United States,23
1,Jairo Riedewald,Crystal Palace,Netherlands,23
1,Ollie Watkins,Aston Villa,England,23
1,Nathan Aké,Manchester City,Netherlands,22
1,Ahmed El Mohamady,,Egypt,22
1,Ki-Jana Hoever,,Netherlands,22
1,Joël Matip,Liverpool,Cameroon,22
1,Alex McCarthy,Southampton,England,22
1,Moussa Sissoko,,France,22
1,Kyle Walker,Manchester City,England,22
1,Joelinton,Newcastle United,Brazil,21
1,Nathaniel Clyne,Crystal Palace,England,21
1,Lukasz Fabianski,West Ham United,Poland,21
1,Solly March,Brighton & Hove Albion,England,21
1,Fred,Manchester United,Brazil,21
1,Chris Wood,,New Zealand,21
2,Marc Albrighton,,England,20
2,Tom Davies,Everton,England,20
2,Mohamed Elneny,Arsenal,Egypt,20
2,Jorginho,,Italy,20
2,Kai Havertz,Chelsea,Germany,20
2,Danny Ings,,England,20
2,Stuart Armstrong,Southampton,Scotland,19
2,Ricardo Pereira,Leicester City,Portugal,19
2,Jack Cork,Burnley,England,19
2,Ryan Fredericks,,England,19
2,Mario Lemina,,Gabon,19
2,Hugo Lloris,Tottenham Hotspur,France,19
2,Marçal,,Brazil,19
2,Bukayo Saka,Arsenal,England,19
2,Luke Thomas,Leicester City,England,19
2,Rayan Aït-Nouri,,Algeria,18
2,Miguel Almirón,Newcastle United,Paraguay,18
2,Sander Berge,Sheffield United,Norway,18
2,Jayden Bogle,Sheffield United,England,18
2,Jack Harrison,,England,18
2,Dwight McNeil,,England,18
2,Alex Telles,,Brazil,18
2,Tammy Abraham,,England,17
2,Ché Adams,Southampton,Scotland,17
2,Jóhann Gudmundsson,Burnley,Iceland,17
2,Arthur Masuaku,,DR Congo,17
2,Fernandinho,,Brazil,17
2,Ederson,Manchester City,Brazil,17
2,Kasper Schmeichel,,Denmark,17
2,Gylfi Sigurdsson,,Iceland,17
2,Georginio Wijnaldum,,Netherlands,17
2,Mbaye Diagne,,Senegal,16
2,Jimmy Dunne,,Ireland,16
2,Fraser Forster,,England,16
2,Youri Tielemans,Leicester City,Belgium,16
2,Pierre-Emerick Aubameyang,,Gabon,15
2,Karlan Grant,West Bromwich Albion,England,15
2,Pascal Groß,Brighton & Hove Albion,Germany,15
2,Mateusz Klich,,Poland,15
2,Rodrigo,Leeds United,Spain,15
2,Thomas Partey,Arsenal,Ghana,15
2,Oriol Romeu,,Spain,15
2,Mathew Ryan,,Australia,15
2,Axel Tuanzebe,,England,15
2,Cédric Soares,,Portugal,14
2,Gareth Bale,,Wales,14
2,Andy Carroll,,England,14
2,Dani Ceballos,,Spain,14
2,Matheus Pereira,,Brazil,14
2,David de Gea,Manchester United,Spain,14
2,Ruben Loftus-Cheek,Fulham,England,14
2,Javier Manquillo,Newcastle United,Spain,14
2,Emiliano Martínez,Aston Villa,Argentina,14
2,James Milner,Liverpool,England,14
2,Ivan Cavaleiro,,Portugal,14
2,Robert Sánchez,Brighton & Hove Albion,Spain,14
2,Callum Wilson,Newcastle United,England,14
2,DeAndre Yedlin,,United States,14
2,André-Frank Zambo Anguissa,,Cameroon,14
2,Trézéguet,,Egypt,13
2,Jeff Hendrick,,Ireland,13
2,Alex Iwobi,Everton,Nigeria,13
2,Alexandre Lacazette,,France,13
2,Sean Longstaff,Newcastle United,England,13
2,Ben Osborn,Sheffield United,England,13
2,Japhet Tanganga,Tottenham Hotspur,England,13
2,Andros Townsend,,England,13
2,Roberto Firmino,Liverpool,Brazil,12
2,Phil Bardsley,,Scotland,12
2,Willian José,,Brazil,12
2,Ibrahima Diallo,Southampton,France,12
2,Moussa Djenepo,Southampton,Mali,12
2,Martin Dúbravka,Newcastle United,Slovakia,12
2,Adam Lallana,Brighton & Hove Albion,England,12
2,Takumi Minamino,,Japan,12
2,Mason Mount,Chelsea,England,12
2,Nicolas Pépé,,Cote D’Ivoire,12
2,Robert Snodgrass,,Scotland,12
2,Bertrand Traoré,Aston Villa,Burkina Faso,12
2,Danny Welbeck,Brighton & Hove Albion,England,12
2,Thiago Alcântara,Liverpool,Spain,11
2,Ashley Barnes,Burnley,England,11
2,Joe Bryan,,England,11
2,Edinson Cavani,,Uruguay,11
2,James McCarthy,,Ireland,11
2,Édouard Mendy,Chelsea,Senegal,11
2,Tanguy Ndombélé,,France,11
2,Lee Peltier,,England,11
2,Tyler Roberts,,Wales,11
2,Mamadou Sakho,,France,11
2,Jeffrey Schlupp,Crystal Palace,Ghana,11
2,Adama Traoré,Wolverhampton Wanderers,Spain,11
2,Harry Winks,,England,11
2,Jordan Ayew,Crystal Palace,Ghana,10
2,Anwar El Ghazi,,Netherlands,10
2,John Fleck,Sheffield United,Scotland,10
2,Phil Foden,Manchester City,England,10
2,Eric García,,Spain,10
2,Olivier Giroud,,France,10
2,Raúl Jiménez,Wolverhampton Wanderers,Mexico,10
2,Marcus Rashford,Manchester United,England,10
2,Lucas Moura,Tottenham Hotspur,Brazil,10
2,Mohamed Salah,Liverpool,Egypt,10
2,Romaine Sawyers,,St. Kitts & Nevis,10
2,André Gomes,,Portugal,10
2,Joe Willock,,England,10
3,Steven Alzate,,Colombia,9
3,Harvey Barnes,Leicester City,England,9
3,Ilkay Gündogan,Manchester City,Germany,9
3,Curtis Jones,Liverpool,England,9
3,Mateo Kovacic,Chelsea,Croatia,9
3,Tariq Lamptey,Brighton & Hove Albion,Ghana,9
3,Sadio Mané,,Senegal,9
3,Nemanja Matic,,Serbia,9
3,Benjamin Mendy,,France,9
3,Emile Smith Rowe,Arsenal,England,9
3,Kevin De Bruyne,Manchester City,Belgium,8
3,Rui Patrício,,Portugal,8
3,Anthony Martial,Manchester United,France,8
3,Marvelous Nakamba,,Zimbabwe,8
3,Christian Pulisic,Chelsea,United States,8
3,Nathan Redmond,,England,8
3,Callum Robinson,,Ireland,8
3,Fikayo Tomori,,England,8
3,Virgil van Dijk,Liverpool,Netherlands,8
3,Michail Antonio,,Jamaica,7
3,Steven Bergwijn,,Netherlands,7
3,Jonny,Wolverhampton Wanderers,Spain,7
3,Hamza Choudhury,,England,7
3,Fabian Delph,,England,7
3,Grady Diangana,West Bromwich Albion,England,7
3,Eberechi Eze,Crystal Palace,England,7
3,Pablo Fornals,West Ham United,Spain,7
3,Sébastien Haller,,Cote D’Ivoire,7
3,Ahmed Hegazy,,Egypt,7
3,Dean Henderson,,England,7
3,Ademola Lookman,Fulham,Nigeria,7
3,Nampalys Mendy,,Senegal,7
3,Aleksandar Mitrovic,Fulham,Serbia,7
3,Jakub Moder,Brighton & Hove Albion,Poland,7
