Rank,Player,Club,Nationality,Stat
1,Ollie Watkins,Aston Villa,England,85
2,Raheem Sterling,,England,83
3,Mohamed Salah,Liverpool,Egypt,82
4,Wilfried Zaha,Crystal Palace,Cote D’Ivoire,77
5,Ademola Lookman,Fulham,Nigeria,73
6,Stuart Armstrong,Southampton,Scotland,68
7,Adama Traoré,Wolverhampton Wanderers,Spain,65
8,Jack Harrison,,England,63
9,Dwight McNeil,,England,62
1,Sadio Mané,,Senegal,61
1,Jordan Ayew,Crystal Palace,Ghana,60
1,Leandro Trossard,,Belgium,60
1,Richarlison,,Brazil,56
1,Andros Townsend,,England,56
1,Harry Kane,Tottenham Hotspur,England,54
1,Allan Saint-Maximin,Newcastle United,France,52
1,Jarrod Bowen,West Ham United,England,50
1,Ivan Cavaleiro,,Portugal,50
1,Paul Pogba,,France,50
1,Marcus Rashford,Manchester United,England,50
1,Son Heung-Min,Tottenham Hotspur,South Korea,50
1,André-Frank Zambo Anguissa,,Cameroon,50
2,Michail Antonio,,Jamaica,49
2,Kyle Walker-Peters,Southampton,England,49
2,Neal Maupay,,France,48
2,Roberto Firmino,Liverpool,Brazil,47
2,Matheus Pereira,,Brazil,45
2,Ché Adams,Southampton,Scotland,44
2,David McGoldrick,,Ireland,44
2,Chris Wood,,New Zealand,44
3,Joelinton,Newcastle United,Brazil,42
3,Ruben Loftus-Cheek,Fulham,England,42
3,Bukayo Saka,Arsenal,England,42
3,Pedro Neto,Wolverhampton Wanderers,Portugal,41
3,Mason Mount,Chelsea,England,41
3,Jeffrey Schlupp,Crystal Palace,Ghana,41
3,Jack Grealish,,England,39
3,Callum Wilson,Newcastle United,England,39
3,Gabriel Jesus,,Brazil,38
3,Grady Diangana,West Bromwich Albion,England,38
3,James Rodríguez,,Colombia,38
4,Bruno Fernandes,Manchester United,Portugal,37
4,Eberechi Eze,Crystal Palace,England,37
4,Anthony Martial,Manchester United,France,37
4,Nathan Redmond,,England,37
4,Lucas Moura,Tottenham Hotspur,Brazil,37
4,Conor Gallagher,,England,36
4,Anwar El Ghazi,,Netherlands,35
4,John McGinn,Aston Villa,Scotland,35
4,Youri Tielemans,Leicester City,Belgium,35
5,Miguel Almirón,Newcastle United,Paraguay,34
5,Stuart Dallas,Leeds United,Northern Ireland,34
5,Raphinha,,Brazil,34
5,Kelechi Iheanacho,Leicester City,Nigeria,34
5,Ross Barkley,,England,33
5,Saïd Benrahma,West Ham United,Algeria,33
5,Kevin De Bruyne,Manchester City,Belgium,33
5,James Maddison,Leicester City,England,33
5,Tanguy Ndombélé,,France,33
6,Curtis Jones,Liverpool,England,32
6,Harvey Barnes,Leicester City,England,31
6,Alexandre Lacazette,,France,31
6,Ainsley Maitland-Niles,West Bromwich Albion,England,31
6,André Gomes,,Portugal,31
6,Fred,Manchester United,Brazil,30
6,Marc Albrighton,,England,29
6,Yves Bissouma,,Mali,29
6,Dominic Calvert-Lewin,Everton,England,29
6,Mason Greenwood,,England,29
6,Riyad Mahrez,Manchester City,Algeria,29
6,Christian Pulisic,Chelsea,United States,29
6,Enda Stevens,Sheffield United,Ireland,29
7,Oliver Burke,,Scotland,28
7,Gylfi Sigurdsson,,Iceland,28
7,Timo Werner,,Germany,28
7,Christian Benteke,,Belgium,27
7,Nélson Semedo,Wolverhampton Wanderers,Portugal,27
7,Theo Walcott,,England,27
7,Georginio Wijnaldum,,Netherlands,27
8,Abdoulaye Doucouré,Everton,Mali,26
8,Alex Iwobi,Everton,Nigeria,26
8,Bertrand Traoré,Aston Villa,Burkina Faso,26
8,Kai Havertz,Chelsea,Germany,25
8,Jacob Murphy,Newcastle United,England,25
8,Ben Osborn,Sheffield United,England,25
8,Matt Phillips,West Bromwich Albion,Scotland,25
8,Daniel Podence,Wolverhampton Wanderers,Portugal,24
8,Bobby De Cordova-Reid,,Jamaica,24
8,John Fleck,Sheffield United,Scotland,24
8,Solly March,Brighton & Hove Albion,England,24
8,Ayoze Pérez,,Spain,24
8,Callum Robinson,,Ireland,24
9,Séamus Coleman,,Ireland,23
9,Reece James,Chelsea,England,23
9,Mateo Kovacic,Chelsea,Croatia,23
9,Bernardo Silva,Manchester City,Portugal,23
9,Nicolas Pépé,,Cote D’Ivoire,23
9,Nathan Tella,,England,23
9,Trent Alexander-Arnold,Liverpool,England,22
9,Michy Batshuayi,,Belgium,22
9,Sébastien Haller,,Cote D’Ivoire,22
9,Rodri,Manchester City,Spain,22
9,Mateusz Klich,,Poland,22
9,Mario Lemina,,Gabon,22
9,Jesse Lingard,,England,22
9,Antonee Robinson,Fulham,United States,22
9,Jay Rodríguez,Burnley,England,22
9,Matej Vydra,,[object Object],22
1,Luke Ayling,Leeds United,England,21
1,Patrick Bamford,Leeds United,England,21
1,Ashley Barnes,Burnley,England,21
1,João Cancelo,,Portugal,21
1,Pablo Fornals,West Ham United,Spain,21
1,Rodrigo,Leeds United,Spain,21
1,Luke Shaw,Manchester United,England,21
1,Fábio Silva,,Portugal,21
1,Tomás Soucek,West Ham United,[object Object],21
1,Ferran Torres,,Spain,21
1,Aaron Wan-Bissaka,Manchester United,England,21
1,George Baldock,Sheffield United,Greece,20
1,Lucas Digne,,France,20
1,Pierre-Emile Højbjerg,Tottenham Hotspur,Denmark,20
1,Hélder Costa,,Angola,20
1,Diogo Jota,Liverpool,Portugal,20
1,Rayan Aït-Nouri,,Algeria,19
1,Pierre-Emerick Aubameyang,,Gabon,19
1,Chris Basham,Sheffield United,England,19
1,Ben Chilwell,Chelsea,England,19
1,Mbaye Diagne,,Senegal,19
1,John Lundstram,,England,19
1,Luka Milivojevic,Crystal Palace,Serbia,19
1,Declan Rice,West Ham United,England,19
1,Joe Willock,,England,19
1,Thiago Alcântara,Liverpool,Spain,18
1,Rhian Brewster,Sheffield United,England,18
1,Danny Ings,,England,18
1,Raúl Jiménez,Wolverhampton Wanderers,Mexico,18
1,Allan,,Brazil,18
1,Oriol Romeu,,Spain,18
1,Douglas Luiz,Aston Villa,Brazil,18
1,Jayden Bogle,Sheffield United,England,17
1,Moussa Djenepo,Southampton,Mali,17
1,Karlan Grant,West Bromwich Albion,England,17
1,Pascal Groß,Brighton & Hove Albion,Germany,17
1,Oliver McBurnie,Sheffield United,Scotland,17
1,Scott McTominay,Manchester United,Scotland,17
1,Aleksandar Mitrovic,Fulham,Serbia,17
1,Kyle Walker,Manchester City,England,17
