Rank,Player,Club,Nationality,Stat
1,Emiliano Martínez,Aston Villa,Argentina,42
2,Aaron Ramsdale,,England,33
3,Nick Pope,,England,32
4,Alphonse Aréola,,France,26
4,Lukasz Fabianski,West Ham United,Poland,26
6,Illan Meslier,Leeds United,France,24
7,Hugo Lloris,Tottenham Hotspur,France,23
7,Alex McCarthy,Southampton,England,23
9,Robert Sánchez,Brighton & Hove Albion,Spain,22
1,Rui Patrício,,Portugal,21
1,Alisson,Liverpool,Brazil,20
1,Sam Johnstone,,England,20
1,Jordan Pickford,Everton,England,20
1,Kasper Schmeichel,,Denmark,20
1,Vicente Guaita,Crystal Palace,Spain,19
1,Ederson,Manchester City,Brazil,19
1,Karl Darlow,,England,18
1,Bernd Leno,,Germany,18
1,Édouard Mendy,Chelsea,Senegal,17
2,Mathew Ryan,,Australia,12
2,Martin Dúbravka,Newcastle United,Slovakia,9
2,Dean Henderson,,England,9
2,Fraser Forster,,England,6
2,Kiko Casilla,,Spain,4
2,Robin Olsen,,Sweden,4
2,Kepa Arrizabalaga,Chelsea,Spain,3
2,John Ruddy,,England,3
2,David de Gea,Manchester United,Spain,2
2,Will Norris,,England,2
3,Jack Butland,,England,1
3,Caoimhín Kelleher,Liverpool,Ireland,1
3,João Virgínia,,Portugal,1
3,Marek Rodák,,Slovakia,1
3,Bailey Peacock-Farrell,,Northern Ireland,0
