Rank,Player,Club,Nationality,Stat
1,Harry Kane,Tottenham Hotspur,England,9
2,Ollie Watkins,Aston Villa,England,7
3,Michail Antonio,,Jamaica,6
4,Son Heung-Min,Tottenham Hotspur,South Korea,5
4,Leandro Trossard,,Belgium,5
4,Timo Werner,,Germany,5
7,Patrick Bamford,Leeds United,England,4
7,Kevin De Bruyne,Manchester City,Belgium,4
7,Lucas Digne,,France,4
7,Pablo Fornals,West Ham United,Spain,4
7,Rodrigo,Leeds United,Spain,4
7,Jamie Vardy,Leicester City,England,4
1,Roberto Firmino,Liverpool,Brazil,3
1,Christian Benteke,,Belgium,3
1,Bruno Fernandes,Manchester United,Portugal,3
1,Matheus Pereira,,Brazil,3
1,Leander Dendoncker,,Belgium,3
1,Raphinha,,Brazil,3
1,Anwar El Ghazi,,Netherlands,3
1,Mason Greenwood,,England,3
1,Erik Lamela,,Argentina,3
1,Ademola Lookman,Fulham,Nigeria,3
1,Riyad Mahrez,Manchester City,Algeria,3
1,Sadio Mané,,Senegal,3
1,Mason Mount,Chelsea,England,3
1,Nicolas Pépé,,Cote D’Ivoire,3
1,Declan Rice,West Ham United,England,3
1,Bukayo Saka,Arsenal,England,3
1,Raheem Sterling,,England,3
1,James Ward-Prowse,Southampton,England,3
1,Adam Webster,Brighton & Hove Albion,England,3
1,Callum Wilson,Newcastle United,England,3
1,Chris Wood,,New Zealand,3
3,Trent Alexander-Arnold,Liverpool,England,2
3,Miguel Almirón,Newcastle United,Paraguay,2
3,Marcos Alonso,,Spain,2
3,Pierre-Emerick Aubameyang,,Gabon,2
3,Gareth Bale,,Wales,2
3,Ross Barkley,,England,2
3,Willian,,Brazil,2
3,João Cancelo,,Portugal,2
3,Vladimír Coufal,West Ham United,[object Object],2
3,Aaron Cresswell,West Ham United,England,2
3,Bobby De Cordova-Reid,,Jamaica,2
3,Eberechi Eze,Crystal Palace,England,2
3,Phil Foden,Manchester City,England,2
3,Conor Gallagher,,England,2
3,Pascal Groß,Brighton & Hove Albion,Germany,2
3,Jóhann Gudmundsson,Burnley,Iceland,2
3,Jack Harrison,,England,2
3,Rodri,Manchester City,Spain,2
3,Raúl Jiménez,Wolverhampton Wanderers,Mexico,2
3,James Maddison,Leicester City,England,2
3,Bernardo Silva,Manchester City,Portugal,2
3,Angelo Ogbonna,West Ham United,Italy,2
3,Ayoze Pérez,,Spain,2
3,Matt Phillips,West Bromwich Albion,Scotland,2
3,Harrison Reed,Fulham,England,2
3,Callum Robinson,,Ireland,2
3,Romain Saïss,,Morocco,2
3,Gylfi Sigurdsson,,Iceland,2
3,Fábio Silva,,Portugal,2
3,Youri Tielemans,Leicester City,Belgium,2
3,Bertrand Traoré,Aston Villa,Burkina Faso,2
3,Adama Traoré,Wolverhampton Wanderers,Spain,2
3,Danny Welbeck,Brighton & Hove Albion,England,2
3,Wilfried Zaha,Crystal Palace,Cote D’Ivoire,2
3,Kurt Zouma,,France,2
6,Ché Adams,Southampton,Scotland,1
6,Marc Albrighton,,England,1
6,Toby Alderweireld,,Belgium,1
6,Ezgjan Alioski,,North Macedonia,1
6,Dele Alli,,England,1
6,Cédric Soares,,Portugal,1
6,Joachim Andersen,,Denmark,1
6,Stuart Armstrong,Southampton,Scotland,1
6,Fabián Balbuena,,Paraguay,1
6,Chris Basham,Sheffield United,England,1
6,Steven Bergwijn,,Netherlands,1
6,Willy Boly,,Cote D’Ivoire,1
6,Rhian Brewster,Sheffield United,England,1
6,Josh Brownhill,Burnley,England,1
6,Joe Bryan,,England,1
6,Dominic Calvert-Lewin,Everton,England,1
6,Timothy Castagne,Leicester City,Belgium,1
6,Daniel Podence,Wolverhampton Wanderers,Portugal,1
6,Dani Ceballos,,Spain,1
6,Carney Chukwuemeka,,England,1
6,Conor Coady,,England,1
6,Séamus Coleman,,Ireland,1
6,Rúben Neves,Wolverhampton Wanderers,Portugal,1
6,Stuart Dallas,Leeds United,Northern Ireland,1
