Rank,Player,Club,Nationality,Stat
1,Pierre-Emile Højbjerg,Tottenham Hotspur,Denmark,3420
1,Hugo Lloris,Tottenham Hotspur,France,3420
1,Emiliano Martínez,Aston Villa,Argentina,3420
1,Aaron Ramsdale,,England,3420
1,Kasper Schmeichel,,Denmark,3420
1,James Ward-Prowse,Southampton,England,3420
7,Tomás Soucek,West Ham United,[object Object],3419
8,Ashley Westwood,,England,3411
9,Stuart Dallas,Leeds United,Northern Ireland,3410
1,Matt Targett,,England,3405
1,Luke Ayling,Leeds United,England,3400
1,Andrew Robertson,Liverpool,Scotland,3385
1,Youri Tielemans,Leicester City,Belgium,3358
1,Vicente Guaita,Crystal Palace,Spain,3330
1,Sam Johnstone,,England,3330
1,John McGinn,Aston Villa,Scotland,3330
1,Rui Patrício,,Portugal,3329
1,Ollie Watkins,Aston Villa,England,3329
1,Conor Coady,,England,3304
2,Alphonse Aréola,,France,3240
2,Ederson,Manchester City,Brazil,3240
2,James Tarkowski,,England,3240
2,Ezri Konsa,Aston Villa,England,3195
2,Tyrone Mings,Aston Villa,England,3195
2,Ben White,,England,3194
2,Aaron Cresswell,West Ham United,England,3172
2,Lukasz Fabianski,West Ham United,Poland,3150
2,Illan Meslier,Leeds United,France,3150
2,Bernd Leno,,Germany,3132
3,Cheikhou Kouyaté,,Senegal,3123
3,Son Heung-Min,Tottenham Hotspur,South Korea,3121
3,Yves Bissouma,,Mali,3111
3,Bruno Fernandes,Manchester United,Portugal,3105
3,Jan Bednarek,Southampton,Poland,3101
3,Harry Kane,Tottenham Hotspur,England,3085
3,Mohamed Salah,Liverpool,Egypt,3079
3,Dwight McNeil,,England,3071
3,Patrick Bamford,Leeds United,England,3062
3,Matthew Lowton,,England,3060
3,Aaron Wan-Bissaka,Manchester United,England,3060
4,Vladimír Coufal,West Ham United,[object Object],3055
4,Harry Maguire,Manchester United,England,3048
4,Trent Alexander-Arnold,Liverpool,England,3033
4,Michael Keane,Everton,England,2990
4,Nélson Semedo,Wolverhampton Wanderers,Portugal,2988
4,Alisson,Liverpool,Brazil,2970
4,Tosin Adarabioyo,Fulham,England,2954
4,Georginio Wijnaldum,,Netherlands,2947
4,Lewis Dunk,Brighton & Hove Albion,England,2932
4,Darnell Furlong,West Bromwich Albion,England,2932
5,Marcus Rashford,Manchester United,England,2928
5,Mason Mount,Chelsea,England,2892
5,Nick Pope,,England,2880
5,Declan Rice,West Ham United,England,2879
5,Dominic Calvert-Lewin,Everton,England,2874
5,Richarlison,,Brazil,2867
5,Jack Harrison,,England,2855
5,Roberto Firmino,Liverpool,Brazil,2849
5,Rúben Dias,Manchester City,Portugal,2845
6,Jamie Vardy,Leicester City,England,2844
6,Josh Brownhill,Burnley,England,2814
6,Sadio Mané,,Senegal,2810
6,George Baldock,Sheffield United,Greece,2789
6,Douglas Luiz,Aston Villa,Brazil,2789
6,Semi Ajayi,West Bromwich Albion,Nigeria,2780
6,Stuart Armstrong,Southampton,Scotland,2771
6,Ademola Lookman,Fulham,Nigeria,2751
6,Chris Wood,,New Zealand,2750
6,Rodri,Manchester City,Spain,2747
7,Édouard Mendy,Chelsea,Senegal,2745
7,Jordan Pickford,Everton,England,2743
7,Joachim Andersen,,Denmark,2730
7,Alex McCarthy,Southampton,England,2700
7,Enda Stevens,Sheffield United,Ireland,2700
7,Ben Mee,,England,2694
7,Ben Godfrey,Everton,England,2683
7,Lucas Digne,,France,2682
7,Rúben Neves,Wolverhampton Wanderers,Portugal,2679
7,Ché Adams,Southampton,Scotland,2673
8,Ola Aina,Fulham,Nigeria,2670
8,Luke Shaw,Manchester United,England,2655
8,Kyle Walker-Peters,Southampton,England,2648
8,Adama Traoré,Wolverhampton Wanderers,Spain,2642
8,John Egan,Sheffield United,Ireland,2630
8,Leandro Trossard,,Belgium,2620
8,Jonjo Shelvey,,England,2617
8,Wilfried Zaha,Crystal Palace,Cote D’Ivoire,2614
8,Timo Werner,,Germany,2602
8,Ryan Bertrand,,England,2599
9,Adam Webster,Brighton & Hove Albion,England,2595
9,Chris Basham,Sheffield United,England,2586
9,Victor Lindelöf,Manchester United,Sweden,2586
9,Kyle Bartley,West Bromwich Albion,England,2584
9,André-Frank Zambo Anguissa,,Cameroon,2584
9,Matheus Pereira,,Brazil,2581
9,Pablo Fornals,West Ham United,Spain,2581
9,John Fleck,Sheffield United,Scotland,2577
9,Jarrod Bowen,West Ham United,England,2576
9,Jannik Vestergaard,,Denmark,2575
1,Fabinho,Liverpool,Brazil,2564
1,Eberechi Eze,Crystal Palace,England,2562
1,Bukayo Saka,Arsenal,England,2560
1,Rob Holding,Arsenal,England,2558
1,Pedro Neto,Wolverhampton Wanderers,Portugal,2558
1,Raheem Sterling,,England,2537
1,João Moutinho,Wolverhampton Wanderers,Portugal,2533
1,Conor Gallagher,,England,2531
1,Granit Xhaka,Arsenal,Switzerland,2522
1,Eric Dier,Tottenham Hotspur,England,2520
1,Neal Maupay,,France,2517
1,Leander Dendoncker,,Belgium,2500
1,Angelo Ogbonna,West Ham United,Italy,2493
1,Pascal Groß,Brighton & Hove Albion,Germany,2481
1,Jonny Evans,Leicester City,Northern Ireland,2476
1,Ivan Cavaleiro,,Portugal,2476
1,Ezgjan Alioski,,North Macedonia,2463
1,Abdoulaye Doucouré,Everton,Mali,2451
1,Miguel Almirón,Newcastle United,Paraguay,2436
1,Robert Sánchez,Brighton & Hove Albion,Spain,2430
1,Kalvin Phillips,,England,2429
1,Charlie Taylor,Burnley,England,2429
1,Romain Saïss,,Morocco,2408
1,David McGoldrick,,Ireland,2401
1,Mateusz Klich,,Poland,2395
1,Fred,Manchester United,Brazil,2395
1,Bobby De Cordova-Reid,,Jamaica,2382
1,Matty Cash,Aston Villa,Poland,2378
1,Reece James,Chelsea,England,2367
1,Raphinha,,Brazil,2363
1,Luka Milivojevic,Crystal Palace,Serbia,2363
1,Timothy Castagne,Leicester City,Belgium,2346
1,Pierre-Emerick Aubameyang,,Gabon,2337
1,Bertrand Traoré,Aston Villa,Burkina Faso,2333
1,João Cancelo,,Portugal,2302
1,Kieran Tierney,Arsenal,Scotland,2301
1,David de Gea,Manchester United,Spain,2295
1,Ben Chilwell,Chelsea,England,2290
1,Mason Holgate,Everton,England,2289
1,Joël Veltman,Brighton & Hove Albion,Netherlands,2282
1,Wesley Fofana,,France,2264
1,Andros Townsend,,England,2259
