Rank,Player,Club,Nationality,Stat
1,Chris Basham,Sheffield United,England,5
2,James Tarkowski,,England,4
3,Semi Ajayi,West Bromwich Albion,Nigeria,3
3,Romain Saïss,,Morocco,3
5,Miguel Almirón,Newcastle United,Paraguay,2
5,Matty Cash,Aston Villa,Poland,2
5,Conor Coady,,England,2
5,Issa Diop,,France,2
5,Jamaal Lascelles,Newcastle United,England,2
5,Nathaniel Phillips,Liverpool,England,2
5,Patrick van Aanholt,,Netherlands,2
1,Marc Albrighton,,England,1
1,Toby Alderweireld,,Belgium,1
1,Joachim Andersen,,Denmark,1
1,Luke Ayling,Leeds United,England,1
1,Fabián Balbuena,,Paraguay,1
1,George Baldock,Sheffield United,Greece,1
1,Gareth Bale,,Wales,1
1,Ricardo Pereira,Leicester City,Portugal,1
1,Kyle Bartley,West Bromwich Albion,England,1
1,Jan Bednarek,Southampton,Poland,1
1,Josh Brownhill,Burnley,England,1
1,Kean Bryan,,England,1
1,Dan Burn,,England,1
1,Dani Ceballos,,Spain,1
1,Andreas Christensen,,Denmark,1
1,Stuart Dallas,Leeds United,Northern Ireland,1
1,Craig Dawson,,England,1
1,Gabriel Magalhães,Arsenal,Brazil,1
1,Lewis Dunk,Brighton & Hove Albion,England,1
1,John Egan,Sheffield United,Ireland,1
1,Thiago Silva,Chelsea,Brazil,1
1,Christian Fuchs,,Austria,1
1,Darnell Furlong,West Bromwich Albion,England,1
1,Dwight Gayle,,England,1
1,Ben Godfrey,Everton,England,1
1,Michael Hector,,Jamaica,1
1,Jordan Henderson,Liverpool,England,1
1,Rob Holding,Arsenal,England,1
1,Ben Johnson,,England,1
1,Harry Kane,Tottenham Hotspur,England,1
1,Matthew Lowton,,England,1
1,Ben Mee,,England,1
1,Tyrone Mings,Aston Villa,England,1
1,Oliver Norwood,Sheffield United,Northern Ireland,1
1,Matt Phillips,West Bromwich Albion,Scotland,1
1,Erik Pieters,,Netherlands,1
1,Andrew Robertson,Liverpool,Scotland,1
1,Jonjo Shelvey,,England,1
1,Jack Stephens,,England,1
1,Conor Townsend,West Bromwich Albion,England,1
5,Isaac Hayden,,England,0
5,Solly March,Brighton & Hove Albion,England,0
5,Ben White,,England,0
