Rank,Player,Club,Nationality,Stat
1,Craig Dawson,,England,2
2,Tosin Adarabioyo,Fulham,England,1
2,Toby Alderweireld,,Belgium,1
2,Ethan Ampadu,Sheffield United,Wales,1
2,Pierre-Emerick Aubameyang,,Gabon,1
2,Jan Bednarek,Southampton,Poland,1
2,Kean Bryan,,England,1
2,Dan Burn,,England,1
2,Nélson Semedo,Wolverhampton Wanderers,Portugal,1
2,Ciaran Clark,,Ireland,1
2,Leander Dendoncker,,Belgium,1
2,Issa Diop,,France,1
2,Rúben Dias,Manchester City,Portugal,1
2,Lewis Dunk,Brighton & Hove Albion,England,1
2,Jonny Evans,Leicester City,Northern Ireland,1
2,Federico Fernández,,Argentina,1
2,Darnell Furlong,West Bromwich Albion,England,1
2,Ben Godfrey,Everton,England,1
2,Rob Holding,Arsenal,England,1
2,Phil Jagielka,,England,1
2,Raúl Jiménez,Wolverhampton Wanderers,Mexico,1
2,Bernd Leno,,Germany,1
2,Jake Livermore,West Bromwich Albion,England,1
2,Illan Meslier,Leeds United,France,1
2,Tyrone Mings,Aston Villa,England,1
2,Erik Pieters,,Netherlands,1
2,Sergio Reguilón,,Spain,1
2,Matt Ritchie,Newcastle United,Scotland,1
2,Antonio Rüdiger,,Germany,1
2,Bukayo Saka,Arsenal,England,1
2,Davinson Sánchez,Tottenham Hotspur,Colombia,1
2,Romaine Sawyers,,St. Kitts & Nevis,1
2,Kasper Schmeichel,,Denmark,1
2,Luke Shaw,Manchester United,England,1
2,Tomás Soucek,West Ham United,[object Object],1
2,Hélder Costa,,Angola,1
2,Axel Tuanzebe,,England,1
3,Ezri Konsa,Aston Villa,England,0
3,Bailey Peacock-Farrell,,Northern Ireland,0
