Rank,Player,Club,Nationality,Stat
1,Rodri,Manchester City,Spain,2785
2,Pierre-Emile Højbjerg,Tottenham Hotspur,Denmark,2765
3,Rúben Dias,Manchester City,Portugal,2713
4,Andrew Robertson,Liverpool,Scotland,2680
5,Youri Tielemans,Leicester City,Belgium,2482
6,James Ward-Prowse,Southampton,England,2434
7,Trent Alexander-Arnold,Liverpool,England,2381
7,Luke Ayling,Leeds United,England,2381
9,Harry Maguire,Manchester United,England,2227
1,Lewis Dunk,Brighton & Hove Albion,England,2223
1,Granit Xhaka,Arsenal,Switzerland,2189
1,Bruno Fernandes,Manchester United,Portugal,2112
1,Fabinho,Liverpool,Brazil,2108
1,Jan Bednarek,Southampton,Poland,2068
1,Ashley Westwood,,England,2044
1,Rúben Neves,Wolverhampton Wanderers,Portugal,1979
1,Stuart Dallas,Leeds United,Northern Ireland,1961
1,Joachim Andersen,,Denmark,1958
1,Thiago Silva,Chelsea,Brazil,1940
2,Michael Keane,Everton,England,1939
2,Tosin Adarabioyo,Fulham,England,1905
2,César Azpilicueta,Chelsea,Spain,1887
2,Victor Lindelöf,Manchester United,Sweden,1866
2,Conor Coady,,England,1857
2,João Cancelo,,Portugal,1854
2,Jonny Evans,Leicester City,Northern Ireland,1850
2,Adam Webster,Brighton & Hove Albion,England,1838
2,Jordan Henderson,Liverpool,England,1815
2,Fred,Manchester United,Brazil,1806
2,Aaron Wan-Bissaka,Manchester United,England,1806
3,Rob Holding,Arsenal,England,1802
3,Eric Dier,Tottenham Hotspur,England,1789
3,Jorginho,,Italy,1783
3,Kurt Zouma,,France,1775
3,Jannik Vestergaard,,Denmark,1763
3,Mateo Kovacic,Chelsea,Croatia,1762
3,Georginio Wijnaldum,,Netherlands,1757
3,Ben White,,England,1747
3,Kyle Walker,Manchester City,England,1733
4,John Stones,Manchester City,England,1727
4,João Moutinho,Wolverhampton Wanderers,Portugal,1721
4,Thiago Alcântara,Liverpool,Spain,1720
4,Ilkay Gündogan,Manchester City,Germany,1714
4,Mason Mount,Chelsea,England,1702
4,Reece James,Chelsea,England,1696
4,Wesley Fofana,,France,1688
4,Yves Bissouma,,Mali,1685
4,Matt Targett,,England,1684
4,Tyrone Mings,Aston Villa,England,1679
5,Aaron Cresswell,West Ham United,England,1652
5,Liam Cooper,Leeds United,Scotland,1650
5,Luke Shaw,Manchester United,England,1609
5,Tomás Soucek,West Ham United,[object Object],1607
5,Nélson Semedo,Wolverhampton Wanderers,Portugal,1567
5,Gabriel Magalhães,Arsenal,Brazil,1550
5,N'Golo Kanté,Chelsea,France,1529
5,Declan Rice,West Ham United,England,1526
5,Antonio Rüdiger,,Germany,1523
5,Harrison Reed,Fulham,England,1477
6,Ben Chilwell,Chelsea,England,1469
6,Mateusz Klich,,Poland,1467
6,Ola Aina,Fulham,Nigeria,1462
6,Toby Alderweireld,,Belgium,1437
6,Wilfred Ndidi,Leicester City,Nigeria,1432
6,Romain Saïss,,Morocco,1428
6,Pascal Groß,Brighton & Hove Albion,Germany,1424
6,André-Frank Zambo Anguissa,,Cameroon,1416
6,Douglas Luiz,Aston Villa,Brazil,1415
6,Oliver Norwood,Sheffield United,Northern Ireland,1405
7,Kalvin Phillips,,England,1404
7,Jonjo Shelvey,,England,1401
7,Çaglar Söyüncü,Leicester City,[object Object],1381
7,Ezgjan Alioski,,North Macedonia,1377
7,Bernardo Silva,Manchester City,Portugal,1372
7,Oleksandr Zinchenko,,Ukraine,1368
7,John McGinn,Aston Villa,Scotland,1367
7,Abdoulaye Doucouré,Everton,Mali,1341
7,Paul Pogba,,France,1333
7,Timothy Castagne,Leicester City,Belgium,1325
8,Kyle Walker-Peters,Southampton,England,1323
8,Roberto Firmino,Liverpool,Brazil,1301
8,Scott McTominay,Manchester United,Scotland,1298
8,Pascal Struijk,Leeds United,Netherlands,1296
8,Luka Milivojevic,Crystal Palace,Serbia,1294
8,Ezri Konsa,Aston Villa,England,1287
8,Vladimír Coufal,West Ham United,[object Object],1279
8,Cheikhou Kouyaté,,Senegal,1279
8,Oriol Romeu,,Spain,1275
8,Aymeric Laporte,Manchester City,Spain,1274
9,Dani Ceballos,,Spain,1272
9,Lucas Digne,,France,1266
9,Kevin De Bruyne,Manchester City,Belgium,1265
9,Mohamed Salah,Liverpool,Egypt,1263
9,James Tarkowski,,England,1259
9,Yerry Mina,Everton,Colombia,1257
9,Joël Veltman,Brighton & Hove Albion,Netherlands,1249
9,Stuart Armstrong,Southampton,Scotland,1236
9,Ben Godfrey,Everton,England,1219
9,Leander Dendoncker,,Belgium,1203
1,Sergio Reguilón,,Spain,1200
1,Ryan Bertrand,,England,1197
1,Matthew Lowton,,England,1194
1,Marcus Rashford,Manchester United,England,1189
1,Enda Stevens,Sheffield United,Ireland,1185
1,Kieran Tierney,Arsenal,Scotland,1180
1,Josh Brownhill,Burnley,England,1172
1,Tanguy Ndombélé,,France,1172
1,Andreas Christensen,,Denmark,1141
1,Thomas Partey,Arsenal,Ghana,1140
1,John Fleck,Sheffield United,Scotland,1139
1,Emiliano Martínez,Aston Villa,Argentina,1134
1,John Egan,Sheffield United,Ireland,1123
1,Ben Mee,,England,1122
1,Nathaniel Phillips,Liverpool,England,1117
1,Héctor Bellerín,,Spain,1114
1,Raheem Sterling,,England,1113
1,Sam Johnstone,,England,1108
1,Dwight McNeil,,England,1106
1,Mason Holgate,Everton,England,1103
1,Dan Burn,,England,1100
1,Eberechi Eze,Crystal Palace,England,1088
1,Illan Meslier,Leeds United,France,1080
1,Kasper Schmeichel,,Denmark,1067
1,Pablo Fornals,West Ham United,Spain,1059
1,Chris Basham,Sheffield United,England,1057
1,Son Heung-Min,Tottenham Hotspur,South Korea,1057
1,Allan,,Brazil,1055
1,James Justin,Leicester City,England,1054
1,Ademola Lookman,Fulham,Nigeria,1049
1,Antonee Robinson,Fulham,United States,1047
1,Willy Boly,,Cote D’Ivoire,1036
1,James Rodríguez,,Colombia,1031
1,Jack Stephens,,England,1027
1,Davinson Sánchez,Tottenham Hotspur,Colombia,1026
1,James Maddison,Leicester City,England,1020
1,Pedro Neto,Wolverhampton Wanderers,Portugal,1019
1,Aaron Ramsdale,,England,1019
1,Angelo Ogbonna,West Ham United,Italy,1018
1,Nemanja Matic,,Serbia,1016
1,Fernandinho,,Brazil,1014
1,Mohamed Elneny,Arsenal,Egypt,1010
1,Matty Cash,Aston Villa,Poland,1008
1,Sadio Mané,,Senegal,1008
1,Ethan Ampadu,Sheffield United,Wales,1006
1,Riyad Mahrez,Manchester City,Algeria,1004
1,John Lundstram,,England,999
1,David Luiz,,Brazil,998
1,Jordan Pickford,Everton,England,998
1,Leandro Trossard,,Belgium,998
1,Bernd Leno,,Germany,997
1,Jack Grealish,,England,996
1,Charlie Taylor,Burnley,England,990
1,Jack Harrison,,England,989
1,Alisson,Liverpool,Brazil,988
1,Robert Sánchez,Brighton & Hove Albion,Spain,984
1,Bukayo Saka,Arsenal,England,978
