Rank,Player,Club,Nationality,Stat
1,Alphonse Aréola,,France,26
2,Karl Darlow,,England,25
3,Illan Meslier,Leeds United,France,24
4,Sam Johnstone,,England,23
4,Jordan Pickford,Everton,England,23
6,Vicente Guaita,Crystal Palace,Spain,22
7,Alisson,Liverpool,Brazil,17
8,Bernd Leno,,Germany,12
8,Aaron Ramsdale,,England,12
1,Alex McCarthy,Southampton,England,11
1,Nick Pope,,England,11
1,Mathew Ryan,,Australia,10
1,Martin Dúbravka,Newcastle United,Slovakia,9
1,Lukasz Fabianski,West Ham United,Poland,9
1,Hugo Lloris,Tottenham Hotspur,France,9
1,Fraser Forster,,England,7
1,Kasper Schmeichel,,Denmark,7
1,David de Gea,Manchester United,Spain,6
1,Ederson,Manchester City,Brazil,6
2,Rui Patrício,,Portugal,5
2,Kepa Arrizabalaga,Chelsea,Spain,4
2,Kiko Casilla,,Spain,4
2,Dean Henderson,,England,4
2,Emiliano Martínez,Aston Villa,Argentina,4
2,Darren Randolph,,Ireland,3
2,Adrián,Liverpool,Spain,3
2,Robert Sánchez,Brighton & Hove Albion,Spain,3
2,David Button,West Bromwich Albion,England,2
2,Édouard Mendy,Chelsea,Senegal,2
2,Marek Rodák,,Slovakia,2
3,Will Norris,,England,1
3,Robin Olsen,,Sweden,1
3,Bailey Peacock-Farrell,,Northern Ireland,1
3,Jan Bednarek,Southampton,Poland,0
