Rank,Player,Club,Nationality,Stat
1,Lewis Dunk,Brighton & Hove Albion,England,2
2,Semi Ajayi,West Bromwich Albion,Nigeria,1
2,Joachim Andersen,,Denmark,1
2,César Azpilicueta,Chelsea,Spain,1
2,Fabián Balbuena,,Paraguay,1
2,Jan Bednarek,Southampton,Poland,1
2,Christian Benteke,,Belgium,1
2,Yves Bissouma,,Mali,1
2,Matty Cash,Aston Villa,Poland,1
2,João Cancelo,,Portugal,1
2,Andreas Christensen,,Denmark,1
2,Liam Cooper,Leeds United,Scotland,1
2,Matheus Pereira,,Brazil,1
2,Craig Dawson,,England,1
2,Richarlison,,Brazil,1
2,Lucas Digne,,France,1
2,Matt Doherty,,Ireland,1
2,Gabriel Magalhães,Arsenal,Brazil,1
2,John Egan,Sheffield United,Ireland,1
2,Thiago Silva,Chelsea,Brazil,1
2,Ryan Fraser,Newcastle United,Scotland,1
2,Kieran Gibbs,,England,1
2,Jeff Hendrick,,Ireland,1
2,Phil Jagielka,,England,1
2,Alexandre Jankewitz,,Switzerland,1
2,Aboubakar Kamara,,Mauritania,1
2,Erik Lamela,,Argentina,1
2,Tariq Lamptey,Brighton & Hove Albion,Ghana,1
2,Bernd Leno,,Germany,1
2,Jake Livermore,West Bromwich Albion,England,1
2,John Lundstram,,England,1
2,Anthony Martial,Manchester United,France,1
2,Neal Maupay,,France,1
2,Luka Milivojevic,Crystal Palace,Serbia,1
2,Tyrone Mings,Aston Villa,England,1
2,David Luiz,,Brazil,1
2,Nicolas Pépé,,Cote D’Ivoire,1
2,Antonee Robinson,Fulham,United States,1
2,João Moutinho,Wolverhampton Wanderers,Portugal,1
2,Fabian Schär,Newcastle United,Switzerland,1
2,Douglas Luiz,Aston Villa,Brazil,1
2,Tomás Soucek,West Ham United,[object Object],1
2,John Stones,Manchester City,England,1
2,Jannik Vestergaard,,Denmark,1
2,Ollie Watkins,Aston Villa,England,1
2,Ben White,,England,1
2,Granit Xhaka,Arsenal,Switzerland,1
4,Erik Pieters,,Netherlands,0
4,Kyle Walker-Peters,Southampton,England,0
