Rank,Player,Club,Nationality,Stat
1,Sam Johnstone,,England,166
2,Aaron Ramsdale,,England,147
3,Emiliano Martínez,Aston Villa,Argentina,142
4,Illan Meslier,Leeds United,France,140
5,Alphonse Aréola,,France,116
6,Hugo Lloris,Tottenham Hotspur,France,114
6,Nick Pope,,England,114
8,Vicente Guaita,Crystal Palace,Spain,106
9,Lukasz Fabianski,West Ham United,Poland,103
1,Rui Patrício,,Portugal,100
1,Alex McCarthy,Southampton,England,93
1,Jordan Pickford,Everton,England,90
1,Karl Darlow,,England,88
1,Kasper Schmeichel,,Denmark,88
1,Bernd Leno,,Germany,86
1,Alisson,Liverpool,Brazil,84
1,Robert Sánchez,Brighton & Hove Albion,Spain,66
1,Ederson,Manchester City,Brazil,66
1,David de Gea,Manchester United,Spain,60
2,Édouard Mendy,Chelsea,Senegal,57
2,Martin Dúbravka,Newcastle United,Slovakia,45
2,Dean Henderson,,England,40
2,Mathew Ryan,,Australia,24
2,Robin Olsen,,Sweden,21
2,Fraser Forster,,England,20
2,Kepa Arrizabalaga,Chelsea,Spain,16
2,Bailey Peacock-Farrell,,Northern Ireland,10
2,Adrián,Liverpool,Spain,10
2,Kiko Casilla,,Spain,8
3,Caoimhín Kelleher,Liverpool,Ireland,6
3,Darren Randolph,,Ireland,6
3,David Button,West Bromwich Albion,England,4
3,Marek Rodák,,Slovakia,4
3,Jack Butland,,England,3
3,João Virgínia,,Portugal,3
3,John Ruddy,,England,3
3,Scott Carson,,England,2
3,Will Norris,,England,2
3,Rúnar Rúnarsson,,Iceland,2
4,Zack Steffen,,United States,1
