Rank,Player,Club,Nationality,Stat
1,Harry Kane,Tottenham Hotspur,England,137
2,Mohamed Salah,Liverpool,Egypt,126
3,Bruno Fernandes,Manchester United,Portugal,121
4,Patrick Bamford,Leeds United,England,107
5,Ollie Watkins,Aston Villa,England,97
6,Sadio Mané,,Senegal,94
7,Roberto Firmino,Liverpool,Brazil,83
7,Dominic Calvert-Lewin,Everton,England,83
9,Mason Mount,Chelsea,England,82
9,Jamie Vardy,Leicester City,England,82
1,Richarlison,,Brazil,81
1,Kevin De Bruyne,Manchester City,Belgium,80
1,Marcus Rashford,Manchester United,England,79
1,Timo Werner,,Germany,79
1,James Maddison,Leicester City,England,75
1,Christian Benteke,,Belgium,71
1,Neal Maupay,,France,71
1,David McGoldrick,,Ireland,71
1,Raheem Sterling,,England,70
1,Chris Wood,,New Zealand,70
2,Ademola Lookman,Fulham,Nigeria,69
2,Son Heung-Min,Tottenham Hotspur,South Korea,68
2,Rúben Neves,Wolverhampton Wanderers,Portugal,67
2,Raphinha,,Brazil,67
2,Mason Greenwood,,England,67
2,Matheus Pereira,,Brazil,65
2,Anwar El Ghazi,,Netherlands,64
2,Tomás Soucek,West Ham United,[object Object],64
2,Bertrand Traoré,Aston Villa,Burkina Faso,64
3,Michail Antonio,,Jamaica,63
3,Pedro Neto,Wolverhampton Wanderers,Portugal,61
3,Bukayo Saka,Arsenal,England,61
3,Wilfried Zaha,Crystal Palace,Cote D’Ivoire,60
3,Kelechi Iheanacho,Leicester City,Nigeria,59
3,Aleksandar Mitrovic,Fulham,Serbia,59
3,Riyad Mahrez,Manchester City,Algeria,58
3,Leandro Trossard,,Belgium,58
3,Pierre-Emerick Aubameyang,,Gabon,57
3,Danny Ings,,England,57
4,Harvey Barnes,Leicester City,England,56
4,Ché Adams,Southampton,Scotland,55
4,Trent Alexander-Arnold,Liverpool,England,55
4,Stuart Armstrong,Southampton,Scotland,55
4,Jarrod Bowen,West Ham United,England,55
4,Gabriel Jesus,,Brazil,55
4,Ilkay Gündogan,Manchester City,Germany,54
4,Pablo Fornals,West Ham United,Spain,50
4,Jack Grealish,,England,50
4,Gylfi Sigurdsson,,Iceland,49
4,Youri Tielemans,Leicester City,Belgium,49
4,Callum Wilson,Newcastle United,England,49
5,Stuart Dallas,Leeds United,Northern Ireland,48
5,Nicolas Pépé,,Cote D’Ivoire,48
5,Fábio Silva,,Portugal,48
5,Ivan Cavaleiro,,Portugal,47
5,Rodrigo,Leeds United,Spain,46
5,Diogo Jota,Liverpool,Portugal,46
5,Phil Foden,Manchester City,England,45
5,Jack Harrison,,England,45
5,Alexandre Lacazette,,France,45
5,John McGinn,Aston Villa,Scotland,45
5,Nathan Redmond,,England,45
6,Joelinton,Newcastle United,Brazil,44
6,Anthony Martial,Manchester United,France,43
6,Christian Pulisic,Chelsea,United States,43
6,Adama Traoré,Wolverhampton Wanderers,Spain,43
6,James Ward-Prowse,Southampton,England,43
6,Yves Bissouma,,Mali,42
6,Jesse Lingard,,England,42
6,Jonjo Shelvey,,England,42
7,Ross Barkley,,England,39
7,Gareth Bale,,Wales,38
7,Ashley Barnes,Burnley,England,38
7,Eberechi Eze,Crystal Palace,England,37
7,James Rodríguez,,Colombia,37
7,Mateusz Klich,,Poland,36
7,Harry Maguire,Manchester United,England,36
7,Ferran Torres,,Spain,36
7,Andros Townsend,,England,36
8,Saïd Benrahma,West Ham United,Algeria,35
