Rank,Player,Club,Nationality,Stat
1,Luke Ayling,Leeds United,England,108
2,Yves Bissouma,,Mali,104
3,Pierre-Emile Højbjerg,Tottenham Hotspur,Denmark,98
4,Wilfred Ndidi,Leicester City,Nigeria,96
5,Aaron Wan-Bissaka,Manchester United,England,88
6,Rúben Neves,Wolverhampton Wanderers,Portugal,86
6,Youri Tielemans,Leicester City,Belgium,86
8,Nélson Semedo,Wolverhampton Wanderers,Portugal,85
9,Matt Targett,,England,83
9,Kyle Walker-Peters,Southampton,England,83
1,Conor Gallagher,,England,81
1,Fred,Manchester United,Brazil,81
1,Allan,,Brazil,80
1,N'Golo Kanté,Chelsea,France,79
1,Tomás Soucek,West Ham United,[object Object],78
1,Andros Townsend,,England,78
1,André-Frank Zambo Anguissa,,Cameroon,78
1,Mason Mount,Chelsea,England,75
1,João Moutinho,Wolverhampton Wanderers,Portugal,75
1,James Ward-Prowse,Southampton,England,75
2,Ezgjan Alioski,,North Macedonia,74
2,Stuart Dallas,Leeds United,Northern Ireland,74
2,Kalvin Phillips,,England,74
2,Vladimír Coufal,West Ham United,[object Object],73
2,Rodri,Manchester City,Spain,72
2,Matty Cash,Aston Villa,Poland,71
2,Chris Basham,Sheffield United,England,69
2,Oriol Romeu,,Spain,69
2,João Cancelo,,Portugal,68
2,Liam Cooper,Leeds United,Scotland,68
3,Joël Veltman,Brighton & Hove Albion,Netherlands,67
3,James Tarkowski,,England,66
3,Luka Milivojevic,Crystal Palace,Serbia,65
3,Tyrick Mitchell,Crystal Palace,England,64
3,Lucas Digne,,France,63
3,Jack Harrison,,England,63
3,Harrison Reed,Fulham,England,63
3,Mario Lemina,,Gabon,62
3,Thiago Alcântara,Liverpool,Spain,61
3,James Justin,Leicester City,England,61
3,John McGinn,Aston Villa,Scotland,61
4,Stuart Armstrong,Southampton,Scotland,60
4,Ryan Bertrand,,England,60
4,Declan Rice,West Ham United,England,59
4,Enda Stevens,Sheffield United,Ireland,59
4,Cheikhou Kouyaté,,Senegal,58
4,Fabinho,Liverpool,Brazil,58
4,Ethan Ampadu,Sheffield United,Wales,57
4,Bruno Fernandes,Manchester United,Portugal,57
4,Jorginho,,Italy,57
4,James McArthur,Crystal Palace,Scotland,57
5,Trent Alexander-Arnold,Liverpool,England,56
5,Mason Holgate,Everton,England,56
5,Sèrge Aurier,,Cote D’Ivoire,55
5,Ben Godfrey,Everton,England,55
5,Reece James,Chelsea,England,55
5,Leander Dendoncker,,Belgium,54
5,Matthew Lowton,,England,54
5,César Azpilicueta,Chelsea,Spain,53
6,Timothy Castagne,Leicester City,Belgium,52
6,Moussa Djenepo,Southampton,Mali,52
6,Abdoulaye Doucouré,Everton,Mali,52
6,Isaac Hayden,,England,52
6,John Fleck,Sheffield United,Scotland,51
6,Wesley Fofana,,France,51
6,Scott McTominay,Manchester United,Scotland,51
6,Dan Burn,,England,50
6,Richarlison,,Brazil,50
6,Jannik Vestergaard,,Denmark,50
6,Granit Xhaka,Arsenal,Switzerland,50
7,Miguel Almirón,Newcastle United,Paraguay,49
7,Solly March,Brighton & Hove Albion,England,49
7,Oliver Norwood,Sheffield United,Northern Ireland,49
7,Douglas Luiz,Aston Villa,Brazil,49
7,Pascal Struijk,Leeds United,Netherlands,49
7,Ben White,,England,49
7,Sadio Mané,,Senegal,48
7,Charlie Taylor,Burnley,England,48
7,Kenny Tete,Fulham,Netherlands,48
8,George Baldock,Sheffield United,Greece,47
8,Dwight McNeil,,England,47
8,Sergio Reguilón,,Spain,47
8,Mateo Kovacic,Chelsea,Croatia,46
8,Andrew Robertson,Liverpool,Scotland,46
8,Josh Brownhill,Burnley,England,45
8,Darnell Furlong,West Bromwich Albion,England,45
8,Pascal Groß,Brighton & Hove Albion,Germany,45
8,Dara O'Shea,West Bromwich Albion,Ireland,45
8,Antonee Robinson,Fulham,United States,45
9,Pablo Fornals,West Ham United,Spain,44
9,Thomas Partey,Arsenal,Ghana,44
9,Luke Shaw,Manchester United,England,44
9,Conor Townsend,West Bromwich Albion,England,44
9,Rob Holding,Arsenal,England,43
9,Joel Ward,Crystal Palace,England,43
9,Ben Chilwell,Chelsea,England,42
9,John Egan,Sheffield United,Ireland,41
9,Tanguy Ndombélé,,France,41
9,Semi Ajayi,West Bromwich Albion,Nigeria,40
9,Davinson Sánchez,Tottenham Hotspur,Colombia,40
1,Séamus Coleman,,Ireland,39
1,Jacob Murphy,Newcastle United,England,39
1,Jonjo Shelvey,,England,39
1,Jordan Ayew,Crystal Palace,Ghana,38
1,Mateusz Klich,,Poland,38
1,Mohammed Salisu,Southampton,Ghana,38
1,Okay Yokuslu,,[object Object],38
1,Tosin Adarabioyo,Fulham,England,37
1,Ola Aina,Fulham,Nigeria,37
1,Jan Bednarek,Southampton,Poland,37
1,Dani Ceballos,,Spain,37
1,Jamal Lewis,Newcastle United,Northern Ireland,37
1,Paul Pogba,,France,36
1,Toby Alderweireld,,Belgium,35
1,Conor Coady,,England,35
1,Grady Diangana,West Bromwich Albion,England,35
1,Ademola Lookman,Fulham,Nigeria,35
1,Romain Saïss,,Morocco,35
1,André Gomes,,Portugal,35
1,Patrick van Aanholt,,Netherlands,35
1,Kevin De Bruyne,Manchester City,Belgium,34
1,Raphinha,,Brazil,34
1,Diego Llorente,,Spain,34
1,Jairo Riedewald,Crystal Palace,Netherlands,34
1,Jack Stephens,,England,34
1,Marc Albrighton,,England,33
1,Joachim Andersen,,Denmark,33
1,Joelinton,Newcastle United,Brazil,33
1,Roberto Firmino,Liverpool,Brazil,33
1,Jayden Bogle,Sheffield United,England,33
1,Willy Boly,,Cote D’Ivoire,33
1,Trézéguet,,Egypt,33
1,Jake Livermore,West Bromwich Albion,England,33
1,Ainsley Maitland-Niles,West Bromwich Albion,England,33
1,David McGoldrick,,Ireland,33
1,Ben Osborn,Sheffield United,England,33
1,Leandro Trossard,,Belgium,33
1,Aaron Cresswell,West Ham United,England,32
1,James Maddison,Leicester City,England,32
1,Ben Mee,,England,32
1,Tyrone Mings,Aston Villa,England,32
1,Ayoze Pérez,,Spain,32
1,Lucas Moura,Tottenham Hotspur,Brazil,32
1,Son Heung-Min,Tottenham Hotspur,South Korea,32
1,Joe Willock,,England,32
1,Ricardo Pereira,Leicester City,Portugal,31
1,Tom Davies,Everton,England,31
1,Bobby De Cordova-Reid,,Jamaica,31
1,Jack Grealish,,England,31
1,Sean Longstaff,Newcastle United,England,31
1,Fernandinho,,Brazil,31
1,Antonio Rüdiger,,Germany,31
1,Lewis Dunk,Brighton & Hove Albion,England,30
1,Erik Pieters,,Netherlands,30
1,Nathan Redmond,,England,30
1,Romaine Sawyers,,St. Kitts & Nevis,30
1,Gylfi Sigurdsson,,Iceland,30
1,Rayan Aït-Nouri,,Algeria,29
1,Héctor Bellerín,,Spain,29
1,Ibrahima Diallo,Southampton,France,29
1,Matt Doherty,,Ireland,29
1,Federico Fernández,,Argentina,29
1,Harry Maguire,Manchester United,England,29
1,Jeffrey Schlupp,Crystal Palace,Ghana,29
1,Kyle Walker,Manchester City,England,29
1,Ollie Watkins,Aston Villa,England,29
1,Adam Webster,Brighton & Hove Albion,England,29
1,Michael Keane,Everton,England,28
1,Adam Lallana,Brighton & Hove Albion,England,28
1,Giovani Lo Celso,,Argentina,28
1,James Rodríguez,,Colombia,28
1,Adama Traoré,Wolverhampton Wanderers,Spain,28
1,Kyle Bartley,West Bromwich Albion,England,27
1,Ben Davies,Tottenham Hotspur,Wales,27
1,Eberechi Eze,Crystal Palace,England,27
1,Alex Iwobi,Everton,Nigeria,27
1,Robin Koch,Leeds United,Germany,27
1,Çaglar Söyüncü,Leicester City,[object Object],27
1,Kieran Tierney,Arsenal,Scotland,27
1,Jarrod Bowen,West Ham United,England,26
1,Jack Cork,Burnley,England,26
1,Matheus Pereira,,Brazil,26
1,Max Lowe,,England,26
1,Alexis Mac Allister,Brighton & Hove Albion,Argentina,26
1,Nampalys Mendy,,Senegal,26
