Rank,Player,Club,Nationality,Stat
1,Andrew Robertson,Liverpool,Scotland,3683
2,Trent Alexander-Arnold,Liverpool,England,3416
3,Luke Ayling,Leeds United,England,3352
4,Pierre-Emile Højbjerg,Tottenham Hotspur,Denmark,3259
5,Rodri,Manchester City,Spain,3191
6,Youri Tielemans,Leicester City,Belgium,3151
7,James Ward-Prowse,Southampton,England,3146
8,Rúben Dias,Manchester City,Portugal,2988
9,Bruno Fernandes,Manchester United,Portugal,2849
1,Stuart Dallas,Leeds United,Northern Ireland,2730
1,Aaron Wan-Bissaka,Manchester United,England,2657
1,Harry Maguire,Manchester United,England,2626
1,Matt Targett,,England,2614
1,Lewis Dunk,Brighton & Hove Albion,England,2554
1,Ashley Westwood,,England,2546
1,João Cancelo,,Portugal,2541
1,Nélson Semedo,Wolverhampton Wanderers,Portugal,2533
1,Granit Xhaka,Arsenal,Switzerland,2516
1,Jan Bednarek,Southampton,Poland,2515
2,Mason Mount,Chelsea,England,2454
2,Rúben Neves,Wolverhampton Wanderers,Portugal,2453
2,Fabinho,Liverpool,Brazil,2445
2,Aaron Cresswell,West Ham United,England,2423
2,Luke Shaw,Manchester United,England,2417
2,Reece James,Chelsea,England,2380
2,César Azpilicueta,Chelsea,Spain,2346
2,Joachim Andersen,,Denmark,2324
2,Michael Keane,Everton,England,2319
2,Tosin Adarabioyo,Fulham,England,2315
3,Yves Bissouma,,Mali,2252
3,Fred,Manchester United,Brazil,2233
3,Ben Chilwell,Chelsea,England,2199
3,Vladimír Coufal,West Ham United,[object Object],2190
3,Adam Webster,Brighton & Hove Albion,England,2188
3,Tomás Soucek,West Ham United,[object Object],2185
3,Ben White,,England,2179
3,Kyle Walker-Peters,Southampton,England,2172
3,Conor Coady,,England,2170
3,Thiago Silva,Chelsea,Brazil,2168
4,Kyle Walker,Manchester City,England,2163
4,João Moutinho,Wolverhampton Wanderers,Portugal,2139
4,Rob Holding,Arsenal,England,2132
4,Ola Aina,Fulham,Nigeria,2124
4,Lucas Digne,,France,2123
4,Jannik Vestergaard,,Denmark,2123
4,Wesley Fofana,,France,2121
4,Tyrone Mings,Aston Villa,England,2115
4,Victor Lindelöf,Manchester United,Sweden,2114
4,Jonny Evans,Leicester City,Northern Ireland,2101
5,Georginio Wijnaldum,,Netherlands,2091
5,Jorginho,,Italy,2089
5,Eric Dier,Tottenham Hotspur,England,2085
5,Mateo Kovacic,Chelsea,Croatia,2067
5,Thiago Alcântara,Liverpool,Spain,2039
5,Ezgjan Alioski,,North Macedonia,2031
5,Jordan Henderson,Liverpool,England,2030
5,André-Frank Zambo Anguissa,,Cameroon,2018
5,Kurt Zouma,,France,2016
5,Ilkay Gündogan,Manchester City,Germany,2011
6,Liam Cooper,Leeds United,Scotland,1991
6,Pascal Groß,Brighton & Hove Albion,Germany,1984
6,John McGinn,Aston Villa,Scotland,1970
6,Matthew Lowton,,England,1957
6,Declan Rice,West Ham United,England,1936
6,N'Golo Kanté,Chelsea,France,1932
6,John Stones,Manchester City,England,1912
6,Joël Veltman,Brighton & Hove Albion,Netherlands,1891
6,Dwight McNeil,,England,1885
